,Year,Performance,perfomance_numerical
0,1960,Fourth place,4
1,1961,Fourth place,4
2,1962,Fourth place,4
3,1963,Fourth place,4
4,1964,Did not qualify,0
5,1965,Did not qualify,0
6,1966,Did not qualify,0
7,1967,Did not qualify,0
8,1968,Did not qualify,0
9,1969,Did not qualify,0
10,1970,Did not qualify,0
11,1971,Did not qualify,0
12,1972,Did not qualify,0
13,1973,Did not qualify,0
14,1974,Did not qualify,0
15,1975,Did not qualify,0
16,1976,Did not qualify,0
17,1977,Did not qualify,0
18,1978,Did not qualify,0
19,1979,Did not qualify,0
20,1980,Did not qualify,0
21,1981,Did not qualify,0
22,1982,Did not qualify,0
23,1983,Did not qualify,0
24,1984,Winner,6
25,1985,Winner,6
26,1986,Winner,6
27,1987,Winner,6
28,1988,Did not qualify,0
29,1989,Did not qualify,0
30,1990,Did not qualify,0
31,1991,Did not qualify,0
32,1992,Group stage,1
33,1993,Group stage,1
34,1994,Group stage,1
35,1995,Group stage,1
36,1996,Semi-finals,4
37,1997,Semi-finals,4
38,1998,Semi-finals,4
39,1999,Semi-finals,4
40,2000,Winner,6
41,2001,Winner,6
42,2002,Winner,6
43,2003,Winner,6
44,2004,Quarter-finals,3
45,2005,Quarter-finals,3
46,2006,Quarter-finals,3
47,2007,Quarter-finals,3
48,2008,Group stage,1
49,2009,Group stage,1
50,2010,Group stage,1
51,2011,Group stage,1
52,2012,Quarter-finals,3
53,2013,Quarter-finals,3
54,2014,Quarter-finals,3
55,2015,Quarter-finals,3
56,2016,Runners-up,5
57,2017,Runners-up,5
58,2018,Runners-up,5
59,2019,Runners-up,5
60,2020,Round of 16,2
